Tune/Set,Artist/Source
Malfunction Junction,Niall Vallely/Nomos
Once in a Blue Moose,Niall Vallely/Nomos
The Singing Stream,Niall Vallely/Nomos
The Morning Thrush,Noel Hill
John Stewart’s/James Byrne’s/Pretty Peg/Miss Patterson’s Slippers,Paddy Glackin
Rakish Paddy,Paddy Glackin
The Stage Hornpipe,Paddy Glackin
Sporting Paddy/John Doherty’s/McFarley’s,Paddy Glackin
Moving Bog/Jenny Picking Cockles/The Hornless Cow,Paddy Glackin
The Fairy Jig/Frainc a’ Phoil ,Paddy Glackin
Mooncoin Jig,Paddy Glackin
Queen of May,Paddy Glackin
Old Peter Street/John McGinley’s/Hand me Down the Tackle,Paddy Glackin
McFadden’s Reel,Paddy Glackin
King of the Pipers/Arthur Darley’s,Paddy Glackin
Miss Patterson’s Slipper (Master Crowley’s),Paddy Glackin
John Doherty’s Reel,Paddy O’Brien & James Kelly
The Western Hornpipe,Paddy O’Brien & James Kelly
Jim Coleman’s/Patsy Touhey’s/Rodney Miller,Paddy O’Brien & James Kelly
John Doherty’s Jig/Kitty Come Down to Limerick,Paddy O’Brien & James Kelly
Sarah’s Delight (F),Paddy O’Brien & James Kelly
Jigs (Track 1),Paddy Taylor
Julia Delaney’s/Mother’s Delight,Paul O’Shaughnessy
Sam Cormier Reel (Denis Langtot’s) D&E,Pierre Schryer
Paddy Ryan’s Dream,The Northern Fiddler
Nine Pint Coggie,The Northern Fiddler
The Morning Dew,The Northern Fiddler
Mary O’ The Wisp,The Northern Fiddler
Kitty in the Lane,The Northern Fiddler
The Hair in the Corn,The Northern Fiddler
Francie Welch’s Barndance,The Northern Fiddler
Drowsy Maggie,The Northern Fiddler
Five Mile Chase,The Northern Fiddler
Con Cassidy’s Jig,The Northern Fiddler
The Milestone Jig,The Northern Fiddler
Paidin O’Rafferty,The Northern Fiddler
Untitled in F (Paddy Ryan’s Dream),The Northern Fiddler
Return To Burton Road,Tim Collins & Brian McNamara
Cosa Mulligan,Tommy Peoples
Gráinne’s Jig,Tommy Peoples
Jocelyn’s Jig,Tommy Peoples
Don’t Touch That Green Linnet,Tommy Peoples
Joe Cassidy’s Reel,Tommy Peoples
Green Fields of Glentown,Tommy Peoples
Black Pat’s,Tommy Peoples
The Bunch of Green Rushes/Carmel Mahoney Mulhaire,Tommy Peoples
Mulqueeney’s Hornpipe,Tommy Peoples
The Killy Kally Klansmen,Tommy Peoples
The Wishing Well,Tommy Peoples
Ciaran O’Reilly,Tommy Peoples
Sport,Zoe Conway
